      Energy                up 
      -17.72300000        0.00000000 
      -17.72025000        0.00000000 
      -17.71750000        0.00000000 
      -17.71475000        0.00000000 
      -17.71200000        0.00000000 
      -17.70925000        0.00000000 
      -17.70650000        0.00000000 
      -17.70375000        0.00000000 
      -17.70100000        0.00000000 
      -17.69825000        0.00000000 
      -17.69550000        0.00000000 
      -17.69275000        0.00000000 
      -17.69000000        0.00000000 
      -17.68725000        0.00000000 
      -17.68450000        0.00000000 
      -17.68175000        0.00000000 
      -17.67900000        0.00000000 
      -17.67625000        0.00000000 
      -17.67350000        0.00000000 
      -17.67075000        0.00000000 
      -17.66800000        0.00000000 
      -17.66525000        0.00000000 
      -17.66250000        0.00000000 
      -17.65975000        0.00000000 
      -17.65700000        0.00000000 
      -17.65425000        0.00000000 
      -17.65150000        0.00000000 
      -17.64875000        0.00000000 
      -17.64600000        0.00000000 
      -17.64325000        0.00000000 
      -17.64050000        0.00000000 
      -17.63775000        0.00000000 
      -17.63500000        0.00000000 
      -17.63225000        0.00000000 
      -17.62950000        0.00000000 
      -17.62675000        0.00000000 
      -17.62400000        0.00000000 
      -17.62125000        0.00000000 
      -17.61850000        0.00000000 
      -17.61575000        0.00000000 
      -17.61300000        0.00000000 
      -17.61025000        0.00000000 
      -17.60750000        0.00000000 
      -17.60475000        0.00000000 
      -17.60200000        0.00000000 
      -17.59925000        0.00000000 
      -17.59650000        0.00000000 
      -17.59375000        0.00000000 
      -17.59100000        0.00000000 
      -17.58825000        0.00000000 
      -17.58550000        0.00000000 
      -17.58275000        0.00000000 
      -17.58000000        0.00000000 
      -17.57725000        0.00000000 
      -17.57450000        0.00000000 
      -17.57175000        0.00000000 
      -17.56900000        0.00000000 
      -17.56625000        0.00000000 
      -17.56350000        0.00000000 
      -17.56075000        0.00000000 
      -17.55800000        0.00000000 
      -17.55525000        0.00000000 
      -17.55250000        0.00000000 
      -17.54975000        0.00000000 
      -17.54700000        0.00000000 
      -17.54425000        0.00000000 
      -17.54150000        0.00000000 
      -17.53875000        0.00000000 
      -17.53600000        0.00000000 
      -17.53325000        0.00000000 
      -17.53050000        0.00000000 
      -17.52775000        0.00000000 
      -17.52500000        0.00000000 
      -17.52225000        0.00000000 
      -17.51950000        0.00000000 
      -17.51675000        0.00000000 
      -17.51400000        0.00000000 
      -17.51125000        0.00000000 
      -17.50850000        0.00000000 
      -17.50575000        0.00000000 
      -17.50300000        0.00000000 
      -17.50025000        0.00000000 
      -17.49750000        0.00000000 
      -17.49475000        0.00000000 
      -17.49200000        0.00000000 
      -17.48925000        0.00000000 
      -17.48650000        0.00000000 
      -17.48375000        0.00000000 
      -17.48100000        0.00000000 
      -17.47825000        0.00000000 
      -17.47550000        0.00000000 
      -17.47275000        0.00000000 
      -17.47000000        0.00000000 
      -17.46725000        0.00000000 
      -17.46450000        0.00000000 
      -17.46175000        0.00000000 
      -17.45900000        0.00000000 
      -17.45625000        0.00000000 
      -17.45350000        0.00000000 
      -17.45075000        0.00000000 
      -17.44800000        0.00000000 
